country, order_value_EUR , amount,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,product_id
Portugal,52227.07,45124.19,2019-03-14,Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Corene Shirer,PC,28-6038070,P0203
Bulgaria,147672.87,129110.39,2019-10-15,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,PC,81-7970957,P0204
France,149500.61,125401.11,2020-07-24,Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,60-8646184,P0205
France,53089.52,44812.86,2019-08-24,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,PC,32-2114915,P0206
France,85223.07,73002.08,2019-09-15,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,PC,58-7865136,P0207
Denmark,58948.52,49416.54,2020-05-20,Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,PC,98-9112505,P0208
Portugal,165696.9,132275.84,2020-10-22,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,PC,03-0455038,P0209
Sweden,177993.88,145029.41,2019-02-12,Outdoors,Johns and Sons,Maxie Marrow,Alyosha Meah,Tablet,71-0122842,T0210
France,108713.83,90341.19,2020-09-03,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,55-1395838,P0211
Finland,25816.05,21447.97,2019-08-09,Clothing,Smith Group,Hube Corey,Mellicent Mattys,Mobile,95-7886861,M0212
Portugal,154072.89,121887.06,2020-09-30,Beauty,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,PC,19-3013452,P0213
Finland,194962.05,154975.33,2020-05-07,Appliances,"Rowe, Hermiston and Kessler",Hube Corey,Mellicent Mattys,PC,54-5082146,P0214
Portugal,60744.83,52805.48,2020-03-19,Smartphones,Gislason-Stanton,Celine Tumasian,Brynn Dempster,PC,69-4462108,P0215
Sweden,39313.39,34273.41,2020-10-10,Beauty,Corwin and Sons,Maxie Marrow,Anita Woakes,Mobile,68-3731565,M0216
France,119820.82,98289.02,2019-06-16,Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,82-2972108,P0217
UK,129485.51,112794.83,2019-05-01,Appliances,McGlynn-Prosacco,Jessamine Apark,Jay Morefield,PC,15-2503493,P0218
Italy,163203.64,140893.7,2019-06-21,Smartphones,"Swaniawski, Runolfsson and Green",Piggy Roscrigg,Joshua Prevost,PC,37-0857161,P0219
France,62788.04,53049.61,2020-02-13,Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,71-2709641,P0220
Portugal,148037.71,117867.62,2020-04-14,Electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,PC,10-5899580,P0221
Ireland,55539.67,45620.29,2020-03-21,Electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,PC,10-9241948,P0222
France,150135,131067.85,2020-09-09,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,PC,68-0080728,P0223
Ireland,85294.3,72662.21,2020-03-25,Beauty,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,47-0640313,P0224
Luxembourg,136079.62,119178.53,2019-08-29,Games,West-Cummings,Ilsa Kob,Jocelyn Laurentino,PC,37-6597365,P0225
Finland,186397.6,161233.92,2020-04-12,Appliances,Friesen and Sons,Hube Corey,Mellicent Mattys,Mobile,13-0833129,M0226
Germany,32695.37,26375.35,2020-11-28,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,Mobile,15-2994585,M0227
France,86077.83,72288.16,2019-03-11,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,85-7784608,P0228
Sweden,72885.55,59773.44,2020-12-29,Clothing,Johns and Sons,Maxie Marrow,Anita Woakes,PC,22-3969127,P0229
Portugal,100469.75,82566.04,2019-05-17,Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,80-2242820,P0230
Sweden,40831.52,34192.31,2019-04-26,Appliances,Labadie and Sons,Maxie Marrow,Madelon Bront,PC,35-1705563,P0231
Italy,142353.07,116046.22,2019-07-24,Books,Dibbert Inc,Piggy Roscrigg,Joshua Prevost,PC,93-9941140,P0232
Sweden,250315.06,218825.43,2019-08-07,Beauty,McGlynn-Prosacco,Maxie Marrow,Alyosha Meah,PC,36-2366573,P0233
UK,100094.97,84690.35,2020-08-11,Games,"Swaniawski, Runolfsson and Green",Jessamine Apark,Genevra Charrisson,PC,10-9932801,P0234
UK,77128.75,65536.3,2020-09-08,Books,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,Mobile,70-8991739,M0235
France,176114.73,149257.23,2020-11-24,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,97-4830372,P0236
France,146325.53,118333.46,2020-09-08,Games,Stehr-Bogan,Othello Bowes,Crysta Halls,PC,95-8015610,P0237
Germany,161823.46,130494.44,2020-07-20,Clothing,Friesen-Rath,Rickard Doogood,Casie MacBain,PC,84-1062113,P0238
Sweden,132632.97,112035.07,2019-04-23,Electronics,"Keeling, Monahan and Pollich",Maxie Marrow,Anita Woakes,PC,05-5082715,P0239
Portugal,107232.99,85207.33,2020-08-03,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,PC,35-6942653,P0240
Sweden,120763.23,96719.27,2020-04-14,Clothing,"Murray, Reichel and Nolan",Maxie Marrow,Anita Woakes,PC,79-6623911,P0241
Bulgaria,278731.9,221591.86,2019-05-12,Appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,PC,48-7662634,P0242
Bulgaria,138153.7,112926.83,2019-02-14,Games,McGlynn-Bergstrom,Charil Alpe,Bernadine Fullagar,PC,46-5888587,P0243
Ireland,68802.13,54635.77,2020-09-15,Beauty,Kirlin and Sons,Glenine Suttaby,Bunnie Tonbridge,PC,17-3178991,P0244
Finland,35619.28,28192.66,2019-08-01,Electronics,"Murray, Reichel and Nolan",Hube Corey,Wat Bowkley,PC,18-8528486,P0245
UK,65014.84,53669.75,2020-03-27,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,Mobile,55-4588115,M0246
Germany,48922.42,39387.44,2020-10-19,Outdoors,"Murray, Reichel and Nolan",Rickard Doogood,Casie MacBain,Tablet,19-9073616,T0247
France,165262.34,142621.4,2020-05-19,Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600,M0248
Portugal,164117.24,133509.37,2020-05-28,Electronics,"Zieme, Bailey and Herzog",Celine Tumasian,Corene Shirer,PC,88-7664123,P0249
Portugal,238085.99,193587.72,2020-07-16,Clothing,"Rowe, Hermiston and Kessler",Celine Tumasian,Hortense Gerring,PC,17-8884817,P0250
Sweden,117733.51,97294.97,2019-07-13,Electronics,Connelly-Mohr,Maxie Marrow,Tarrah Castelletti,PC,45-5509135,P0251
France,26713.46,22043.95,2020-12-10,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,PC,81-4176165,P0252
France,49664.17,39244.63,2019-10-30,Books,"Swaniawski, Runolfsson and Green",Othello Bowes,Amelina Piscopiello,PC,24-9702599,P0253
Sweden,162101.93,133912.4,2019-12-19,Smartphones,"Rowe, Hermiston and Kessler",Maxie Marrow,Tarrah Castelletti,PC,24-4272786,P0254
France,118027.37,96050.67,2019-06-04,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,77-3656041,P0255
Sweden,147994.63,129643.3,2019-01-27,Games,Stamm Inc,Maxie Marrow,Alyosha Meah,PC,47-7207206,P0256
Finland,48946.74,38765.82,2019-04-19,Accessories,"Swaniawski, Runolfsson and Green",Hube Corey,Mellicent Mattys,PC,65-2022928,P0257
Sweden,73860.57,60336.7,2020-11-13,Clothing,McGlynn-Prosacco,Maxie Marrow,Madelon Bront,PC,16-5837761,P0258
Portugal,86083.27,72309.95,2019-11-30,Electronics,Connelly-Mohr,Celine Tumasian,Hortense Gerring,PC,80-7090422,P0259
Finland,72385.53,60181.33,2019-10-09,Clothing,Johns and Sons,Hube Corey,Wat Bowkley,PC,66-8222460,P0260
Portugal,120332.26,102282.42,2020-01-14,Clothing,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,Tablet,44-0527427,T0261
Sweden,81262.34,65326.8,2019-06-09,Books,Johns and Sons,Maxie Marrow,Anita Woakes,Mobile,75-9517276,M0262
Austria,139075.59,113708.2,2020-12-16,Games,"Murray, Reichel and Nolan",Orsa Geekin,Bank Coumbe,PC,24-2403756,P0263
France,50516.2,43918.78,2019-03-22,Electronics,Wiza and Sons,Othello Bowes,Maighdiln Upcraft,PC,50-1986322,P0264
Sweden,112228.82,97470.73,2019-09-15,Outdoors,Gislason-Stanton,Maxie Marrow,Madelon Bront,PC,75-9585763,P0265
France,79833.6,63411.83,2019-06-15,Appliances,McGlynn-Bergstrom,Othello Bowes,Avrit Chanders,PC,86-6760202,P0266
Finland,135629.36,118526.5,2020-12-08,Games,Tillman and Sons,Hube Corey,Mellicent Mattys,PC,66-7717800,P0267
Luxembourg,175332.04,144999.6,2020-09-24,Accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,PC,89-8942175,P0268
Portugal,101923.36,86115.05,2019-01-19,Beauty,"Shanahan, Schaden and Parker",Celine Tumasian,Brynn Dempster,Mobile,38-0584273,M0269
Germany,190100.96,160749.37,2019-12-20,Electronics,Walter LLC,Rickard Doogood,Casie MacBain,PC,38-8840357,P0270
Netherlands,152771.9,134423.99,2020-02-05,Clothing,McClure Inc,Denice Amberg,Nero Harbisher,PC,82-4495901,P0271
France,52805.94,43791.97,2020-06-22,Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,PC,81-2373308,P0272
Portugal,51416.24,43338.75,2020-04-15,Smartphones,"Spencer, Rogahn and Muller",Celine Tumasian,Aurelie Wren,PC,15-0224516,P0273
Luxembourg,76426.54,66116.6,2019-03-16,Clothing,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,PC,95-6935153,P0274
France,118021.59,98229.37,2019-04-21,Beauty,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Maighdiln Upcraft,PC,60-8661261,P0275
Portugal,59378.97,52176.3,2020-04-25,Appliances,Schoen-Keeling,Celine Tumasian,Corene Shirer,PC,56-2783503,P0276
Spain,61325.25,49379.09,2020-07-29,Beauty,Hessel-Stiedemann,Emalia Dinse,Manuel Goudie,Tablet,95-1516475,T0277
France,80431.34,69774.19,2019-07-22,Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,32-5562588,P0278
Portugal,177919.14,147370.42,2020-07-06,Beauty,Walter LLC,Celine Tumasian,Aurelie Wren,PC,70-7769332,P0279
Ireland,37520.09,32781.3,2020-05-27,Clothing,Kihn Inc,Glenine Suttaby,Bunnie Tonbridge,Mobile,07-6200800,M0280
Spain,68745.86,58014.63,2019-09-04,Electronics,Labadie and Sons,Emalia Dinse,Manuel Goudie,PC,11-2988171,P0281
Denmark,69017.42,55897.21,2020-02-04,Electronics,Hegmann Group,Modestia Byfford,Case Desorts,PC,38-3894304,P0282
France,48850.38,39788.63,2019-03-31,Appliances,"Spencer, Rogahn and Muller",Othello Bowes,Crysta Halls,PC,33-6126082,P0283
Netherlands,253291.55,219502.46,2020-12-06,Books,Altenwerth-Konopelski,Denice Amberg,Nero Harbisher,PC,25-4970452,P0284
Portugal,47186.74,38112.73,2019-07-28,Electronics,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,34-8903845,P0285
Portugal,59670.68,51269.05,2019-10-09,Appliances,"Shanahan, Schaden and Parker",Celine Tumasian,Aurelie Wren,PC,32-2110689,P0286
Portugal,228961.3,183764.34,2020-01-06,Appliances,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,37-8204282,P0287
France,165259.58,130703.8,2020-06-26,Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,PC,46-1318487,P0288
France,219911.81,179426.05,2019-05-07,Clothing,Smith Group,Othello Bowes,Crysta Halls,PC,99-3971751,P0289
Finland,55882.12,48561.56,2020-05-20,Clothing,"Murray, Reichel and Nolan",Hube Corey,Mellicent Mattys,PC,24-7985425,P0290
France,16388.9,13430.7,2020-03-15,Electronics,West-Cummings,Othello Bowes,Crysta Halls,PC,30-9690927,P0291
Spain,85927.37,74490.44,2019-04-15,Clothing,"Hartmann, Hane and Pfannerstill",Emalia Dinse,Perri Aldersley,PC,37-5025811,P0292
France,161212.39,138046.17,2020-04-07,Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,21-6670877,P0293
France,66678.38,53009.31,2019-04-03,Smartphones,Walter LLC,Othello Bowes,Amelina Piscopiello,PC,34-3119010,P0294
Sweden,148243.05,120566.07,2020-07-12,Beauty,Johns and Sons,Maxie Marrow,Madelon Bront,PC,54-7503816,P0295
Ireland,126523.36,106368.19,2020-05-14,Games,Gleichner-Green,Glenine Suttaby,Bunnie Tonbridge,PC,96-1698894,P0296
Ireland,63373.72,55572.41,2020-03-03,Clothing,"Dickinson, Hyatt and Berge",Glenine Suttaby,Bunnie Tonbridge,PC,92-0523700,P0297
Ireland,76767.77,64500.28,2020-01-22,Games,"Spencer, Rogahn and Muller",Glenine Suttaby,Bunnie Tonbridge,PC,15-3657248,P0298
Portugal,78938.82,65471.86,2019-04-24,Games,"Fisher, Morar and Skiles",Celine Tumasian,Brynn Dempster,PC,16-3423161,P0299
France,131864.04,110277.9,2019-09-04,Appliances,"Murray, Reichel and Nolan",Othello Bowes,Ora Grennan,PC,67-2684209,P0300
Portugal,116774.43,98954.65,2019-04-21,Accessories,Labadie and Sons,Celine Tumasian,Hortense Gerring,Mobile,21-7344983,M0301
France,141112.84,120044.69,2020-08-08,Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,Mobile,47-9701762,M0302
Bulgaria,33210.56,29109.06,2020-11-20,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,PC,86-3876359,P0303
France,174392.33,141449.62,2020-03-08,Smartphones,Labadie and Sons,Othello Bowes,Ora Grennan,PC,34-4313860,P0304
Sweden,204484.61,177308.61,2019-06-16,Games,"Hermiston, Simonis and Wisoky",Maxie Marrow,Caro Morfield,Tablet,71-4782689,T0305
Germany,80986.1,64124.79,2019-02-12,Appliances,"Dickinson, Hyatt and Berge",Rickard Doogood,Casie MacBain,Mobile,85-3690127,M0306
Sweden,179179.73,154936.71,2019-10-22,Books,"Zieme, Bailey and Herzog",Maxie Marrow,Anita Woakes,PC,66-5810051,P0307
Netherlands,99731.4,84731.8,2020-12-01,Electronics,Smith Group,Denice Amberg,Nero Harbisher,PC,81-9170157,P0308
France,32661.62,27922.42,2020-08-02,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Amelina Piscopiello,PC,24-7300640,P0309
Sweden,30166.93,24658.45,2019-11-29,Appliances,Corwin and Sons,Maxie Marrow,Tarrah Castelletti,PC,97-1288901,P0310
Germany,36747.24,31900.28,2019-01-19,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,PC,81-9757849,P0311
France,66884.7,58544.18,2020-01-19,Smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,PC,44-9179070,P0312
Portugal,165305.7,134757.21,2019-07-13,Games,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Aurelie Wren,PC,55-2137809,P0313
Sweden,50618.21,41835.95,2019-05-03,Beauty,Hegmann Group,Maxie Marrow,Tarrah Castelletti,PC,56-1063618,P0314
Sweden,82116.31,70652.87,2020-05-30,Beauty,"Zieme, Bailey and Herzog",Maxie Marrow,Caro Morfield,Tablet,01-8080546,T0315
Sweden,106142.65,88151.47,2019-04-06,Games,Baumbach Group,Maxie Marrow,Anita Woakes,PC,29-5632797,P0316
Portugal,149514,122646.33,2020-10-18,Games,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Smitty Culverhouse,Mobile,20-1191256,M0317
Sweden,30975.79,27072.84,2020-03-15,Clothing,McGlynn-Bergstrom,Maxie Marrow,Tarrah Castelletti,PC,33-4022317,P0318
France,165118.74,137527.4,2019-02-11,Clothing,Smith Group,Othello Bowes,Amelina Piscopiello,PC,59-5892824,P0319
Germany,76652.73,64311.64,2020-04-08,Accessories,"Farrell, Swaniawski and Crist",Rickard Doogood,Casie MacBain,PC,52-3394023,P0320
UK,151632.33,120744.82,2020-07-14,Clothing,Armstrong-Little,Jessamine Apark,Winny Agnolo,PC,89-5350599,P0321
France,35289.75,29424.59,2019-02-26,Smartphones,Armstrong-Little,Othello Bowes,Maighdiln Upcraft,PC,92-6298656,P0322
France,77043.84,63245.29,2020-08-02,Outdoors,Armstrong-Little,Othello Bowes,Avrit Chanders,PC,91-7317758,P0323
Portugal,59691.71,49239.69,2019-06-17,Other,Walter LLC,Celine Tumasian,Hortense Gerring,PC,60-6055725,P0324
Portugal,181882.43,149834.75,2019-07-28,Books,McClure Inc,Celine Tumasian,Corene Shirer,PC,33-2816759,P0325
Portugal,50796.04,44090.96,2019-09-21,Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Hortense Gerring,PC,05-2359767,P0326
Netherlands,73981.77,61959.73,2019-11-18,Clothing,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,73-9492768,P0327
UK,105686.13,86694.33,2019-10-13,Outdoors,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,31-6770318,P0328
Sweden,149376.26,123653.67,2020-01-31,Other,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,PC,52-0695511,P0329
Netherlands,85237.91,72384.03,2020-03-18,Smartphones,Armstrong-Little,Denice Amberg,Nero Harbisher,PC,45-8314773,P0330
Luxembourg,104743.22,83281.33,2019-03-24,Electronics,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,Mobile,53-0205940,M0331
Portugal,290551.74,239530.86,2020-12-14,Other,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,PC,53-1660551,P0332
France,72314.73,57309.42,2019-08-27,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,70-5394452,P0333
Netherlands,119858.15,99997.65,2020-11-19,Electronics,McGlynn-Prosacco,Denice Amberg,Nero Harbisher,PC,10-0386535,P0334
Portugal,119937.47,98720.53,2019-08-13,Games,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,56-8476539,P0335
France,60592.4,52363.95,2019-02-22,Accessories,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,04-7976277,P0336
Ireland,31966.82,26593.2,2020-08-24,Appliances,Johns and Sons,Glenine Suttaby,Palm Wetherald,PC,21-2965409,P0337
Portugal,83226.45,71699.59,2020-11-22,Beauty,"Swaniawski, Runolfsson and Green",Celine Tumasian,Corene Shirer,PC,04-2788693,P0338
Germany,51407.3,44292.53,2019-02-05,Clothing,Altenwerth-Konopelski,Rickard Doogood,Casie MacBain,Tablet,20-6477396,T0339
Germany,61968.26,50690.04,2020-12-27,Electronics,Romaguera-Dietrich,Rickard Doogood,Casie MacBain,PC,22-7259031,P0340
Ireland,271465.15,217959.37,2019-03-07,Electronics,Corwin and Sons,Glenine Suttaby,Bunnie Tonbridge,Mobile,44-9239029,M0341
Sweden,86854.64,72219.63,2020-04-02,Books,Tillman and Sons,Maxie Marrow,Tarrah Castelletti,PC,77-4566105,P0342
Ireland,119819.37,105441.05,2020-07-12,Smartphones,Dibbert Inc,Glenine Suttaby,Palm Wetherald,PC,29-3662564,P0343
UK,160763.9,131102.96,2019-04-18,Appliances,McGlynn-Prosacco,Jessamine Apark,Genevra Charrisson,PC,73-8057834,P0344
Sweden,44029.07,38344.92,2019-09-09,Other,McGlynn-Bergstrom,Maxie Marrow,Alyosha Meah,PC,87-9980890,P0345
France,86628.32,72464.59,2019-06-11,Appliances,Kihn Inc,Othello Bowes,Crysta Halls,PC,98-8250897,P0346
Portugal,97641.25,83414.92,2020-10-17,Books,Morissette Group,Celine Tumasian,Brynn Dempster,PC,98-3051699,P0347
Portugal,98746.66,80399.53,2020-10-02,Appliances,Considine-Fisher,Celine Tumasian,Smitty Culverhouse,PC,75-7291972,P0348
France,109562.5,89917.94,2020-05-08,Appliances,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,PC,67-3672347,P0349
UK,60301.96,48820.47,2019-08-02,Beauty,Wiza and Sons,Jessamine Apark,Jay Morefield,PC,75-1785229,P0350
France,80781.62,68971.35,2019-01-19,Smartphones,McGlynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,53-1426071,M0351
France,238659.41,204507.25,2019-12-23,Appliances,Corwin and Sons,Othello Bowes,Amelina Piscopiello,Tablet,49-7167664,T0352
UK,165631.75,139114.11,2019-03-09,Appliances,Johns and Sons,Jessamine Apark,Jay Morefield,PC,07-7047482,P0353
Sweden,126682.79,106514.89,2019-11-06,Smartphones,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,57-1931933,P0354
Sweden,145558,116257.18,2019-12-20,Clothing,Konopelski LLC,Maxie Marrow,Tarrah Castelletti,Tablet,15-5167065,T0355
Spain,59163.79,50419.38,2019-11-03,Smartphones,McClure Inc,Emalia Dinse,Perri Aldersley,Mobile,98-9382686,M0356
Sweden,140352.81,122303.44,2019-01-12,Smartphones,Hilll-Vandervort,Maxie Marrow,Caro Morfield,PC,47-5733147,P0357
France,163401.23,139413.93,2019-04-22,Clothing,Wisoky Inc,Othello Bowes,Avrit Chanders,PC,98-2104934,P0358
Sweden,177867.3,140675.25,2020-03-10,Smartphones,Walter LLC,Maxie Marrow,Anita Woakes,PC,30-6005742,P0359
Germany,58416.81,46745.13,2019-07-02,Clothing,Morissette Group,Rickard Doogood,Casie MacBain,PC,21-7461655,P0360
Germany,169544.95,137568.77,2020-12-04,Appliances,"Keeling, Monahan and Pollich",Rickard Doogood,Casie MacBain,Mobile,96-7625873,M0361
Luxembourg,74732.79,64098.31,2020-02-24,Beauty,McClure Inc,Ilsa Kob,Jocelyn Laurentino,PC,53-2132479,P0362
Portugal,55166.78,47443.43,2020-04-13,Books,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,70-4650708,P0363
France,99319.33,79127.71,2020-05-26,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,53-3037652,P0364
Sweden,118982.14,95506.96,2020-01-15,Clothing,Stehr-Bogan,Maxie Marrow,Caro Morfield,Mobile,76-0774122,M0365
Ireland,157007.52,126940.58,2019-08-31,Beauty,Friesen-Rath,Glenine Suttaby,Bunnie Tonbridge,PC,72-3928347,P0366
France,49374.25,39208.09,2019-05-21,Books,Stehr LLC,Othello Bowes,Ora Grennan,PC,87-1399932,P0367
Portugal,123891.6,104118.5,2019-07-23,Games,Hegmann Group,Celine Tumasian,Smitty Culverhouse,PC,25-1045028,P0368
France,234340.31,204438.49,2020-12-13,Clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,PC,70-0364033,P0369
Netherlands,95575.75,75504.84,2020-12-23,Books,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,35-9372764,P0370
Finland,125280.28,99372.32,2019-10-18,Beauty,Romaguera-Dietrich,Hube Corey,Wat Bowkley,PC,36-1142710,P0371
Portugal,127482.28,108614.9,2020-08-26,Beauty,Hilll-Vandervort,Celine Tumasian,Aurelie Wren,PC,75-6291395,P0372
Portugal,120453.52,97218.04,2019-11-02,Beauty,"Schowalter, Lesch and Beahan",Celine Tumasian,Brynn Dempster,PC,00-3338378,P0373
Portugal,120152.33,97527.65,2019-09-29,Outdoors,Romaguera-Dietrich,Celine Tumasian,Smitty Culverhouse,PC,55-1904761,P0374
Portugal,95410.97,80593.65,2020-09-22,Books,"Murray, Reichel and Nolan",Celine Tumasian,Hortense Gerring,Mobile,70-9736399,M0375
France,128804.51,105709.86,2019-09-13,Appliances,Connelly-Mohr,Othello Bowes,Amelina Piscopiello,Tablet,20-3125420,T0376
Italy,26899.97,23198.53,2019-03-19,Games,Hessel-Stiedemann,Piggy Roscrigg,Joshua Prevost,PC,57-2968987,P0377
UK,123751.91,102590.33,2019-11-18,Smartphones,Johns and Sons,Jessamine Apark,Jay Morefield,PC,76-2146784,P0378
Sweden,37081.31,31304.04,2019-11-03,Beauty,McGlynn-Prosacco,Maxie Marrow,Anita Woakes,PC,19-3129154,P0379
France,133905.55,116886.15,2020-01-08,Books,"Keeling, Monahan and Pollich",Othello Bowes,Avrit Chanders,Mobile,79-0973971,M0380
France,63298.61,53645.57,2020-10-04,Appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Avrit Chanders,Mobile,65-5376517,M0381
France,274242.36,227950.25,2020-09-12,Outdoors,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Mobile,80-5258827,M0382
Luxembourg,312928.72,270401.71,2019-12-12,Beauty,Altenwerth-Konopelski,Ilsa Kob,Jocelyn Laurentino,Tablet,98-5257166,T0383
France,119156.18,100710.8,2019-08-20,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,19-5610175,P0384
France,162123.74,133979.06,2020-04-14,Beauty,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,94-3509391,P0385
Ireland,65831.42,52487.39,2019-12-01,Electronics,"Christiansen, Donnelly and Bechtelar",Glenine Suttaby,Palm Wetherald,PC,43-5417299,P0386
France,180515.09,148852.74,2019-12-26,Books,Franecki-White,Othello Bowes,Amelina Piscopiello,PC,68-6141868,P0387
UK,99114.91,84217.94,2020-04-04,Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,29-8979189,P0388
Portugal,171884,146702.99,2019-10-13,Games,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC,58-9821508,P0389
Denmark,26745.94,22600.32,2019-10-11,Appliances,Larkin-Collier,Modestia Byfford,Case Desorts,PC,49-1493117,P0390
Portugal,77087.84,65894.69,2020-05-17,Other,"Rowe, Hermiston and Kessler",Celine Tumasian,Aurelie Wren,PC,51-5334556,P0391
France,87404,69363.81,2019-12-26,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,79-3154360,P0392
France,47680.2,40575.85,2019-08-07,Clothing,Dibbert Inc,Othello Bowes,Crysta Halls,PC,11-6024248,P0393
Finland,27824.83,23517.55,2019-06-09,Games,McClure Inc,Hube Corey,Wat Bowkley,PC,61-4610981,P0394
Portugal,106516.4,86928.03,2019-03-21,Clothing,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Smitty Culverhouse,PC,12-4509008,P0395
France,141948.11,112948.11,2020-04-25,Books,Stehr LLC,Othello Bowes,Maighdiln Upcraft,PC,46-5576111,P0396
Ireland,226021.18,180455.31,2019-07-18,Accessories,"Schowalter, Lesch and Beahan",Glenine Suttaby,Palm Wetherald,PC,44-6718687,P0397
Italy,44232.84,38880.67,2020-02-20,Books,Johns and Sons,Piggy Roscrigg,Joshua Prevost,Tablet,67-7432229,T0398
Ireland,135344.52,117492.58,2019-01-17,Games,Tillman and Sons,Glenine Suttaby,Palm Wetherald,PC,17-4401585,P0399
France,271411.92,231514.37,2019-09-12,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Tablet,56-9241023,T0400
Portugal,125253.59,108269.2,2020-02-17,Smartphones,"Murray, Reichel and Nolan",Celine Tumasian,Corene Shirer,PC,90-2194359,P0401
Sweden,15100.57,12113.68,2019-02-20,Games,"Murray, Reichel and Nolan",Maxie Marrow,Tarrah Castelletti,PC,89-2424262,P0402
France,157932.84,134148.15,2020-01-31,Games,"Schowalter, Lesch and Beahan",Othello Bowes,Amelina Piscopiello,PC,30-2982340,P0403
Portugal,64192.86,52837.14,2020-12-04,Appliances,Johns and Sons,Celine Tumasian,Brynn Dempster,PC,10-4704941,P0404
Sweden,156453.01,128494.86,2020-04-10,Clothing,Johns and Sons,Maxie Marrow,Madelon Bront,PC,48-3484986,P0405
